algorithm,k,superholderpriority,recall
baseline,1,0,0.384309831181728
dpi,1,0,0.385302879841112
dpi,1,1,0.386295928500497
npi,1,0,0.893743793445879
npi,1,1,0.893743793445879
transitive_alpha0.0,1,0,0.384309831181728
transitive_alpha0.0,1,1,0.386295928500497
transitive_alpha0.1,1,0,0.385302879841112
transitive_alpha0.1,1,1,0.950347567030784
transitive_alpha0.2,1,0,0.385302879841112
transitive_alpha0.2,1,1,0.950347567030784
transitive_alpha0.3,1,0,0.386295928500497
transitive_alpha0.3,1,1,0.950347567030784
transitive_alpha0.4,1,0,0.386295928500497
transitive_alpha0.4,1,1,0.950347567030784
transitive_alpha0.5,1,0,0.399205561072493
transitive_alpha0.5,1,1,0.952333664349553
transitive_alpha0.6,1,0,0.405163853028798
transitive_alpha0.6,1,1,0.952333664349553
transitive_alpha0.7,1,0,0.407149950347567
transitive_alpha0.7,1,1,0.953326713008937
transitive_alpha0.8,1,0,0.483614697120159
transitive_alpha0.8,1,1,0.960278053624628
transitive_alpha0.9,1,0,0.491559086395233
transitive_alpha0.9,1,1,0.961271102284012
transitive_alpha0.999,1,0,0.491559086395233
transitive_alpha0.999,1,1,0.961271102284012
transitivedpi_alpha0.0,1,0,0.385302879841112
transitivedpi_alpha0.0,1,1,0.385302879841112
transitivedpi_alpha0.1,1,0,0.385302879841112
transitivedpi_alpha0.1,1,1,0.899702085402185
transitivedpi_alpha0.2,1,0,0.385302879841112
transitivedpi_alpha0.2,1,1,0.899702085402185
transitivedpi_alpha0.3,1,0,0.385302879841112
transitivedpi_alpha0.3,1,1,0.899702085402185
transitivedpi_alpha0.4,1,0,0.385302879841112
transitivedpi_alpha0.4,1,1,0.899702085402185
transitivedpi_alpha0.5,1,0,0.39622641509434
transitivedpi_alpha0.5,1,1,0.901688182720953
transitivedpi_alpha0.6,1,0,0.404170804369414
transitivedpi_alpha0.6,1,1,0.901688182720953
transitivedpi_alpha0.7,1,0,0.405163853028798
transitivedpi_alpha0.7,1,1,0.901688182720953
transitivedpi_alpha0.8,1,0,0.479642502482622
transitivedpi_alpha0.8,1,1,0.910625620655412
transitivedpi_alpha0.9,1,0,0.479642502482622
transitivedpi_alpha0.9,1,1,0.910625620655412
transitivedpi_alpha0.999,1,0,0.479642502482622
transitivedpi_alpha0.999,1,1,0.910625620655412
baseline,2,0,0.388282025819265
dpi,2,0,0.388282025819265
dpi,2,1,0.388282025819265
npi,2,0,0.95630585898709
npi,2,1,0.95630585898709
transitive_alpha0.0,2,0,0.388282025819265
transitive_alpha0.0,2,1,0.388282025819265
transitive_alpha0.1,2,0,0.609731876861966
transitive_alpha0.1,2,1,0.975173783515392
transitive_alpha0.2,2,0,0.609731876861966
transitive_alpha0.2,2,1,0.975173783515392
transitive_alpha0.3,2,0,0.610724925521351
transitive_alpha0.3,2,1,0.975173783515392
transitive_alpha0.4,2,0,0.612711022840119
transitive_alpha0.4,2,1,0.975173783515392
transitive_alpha0.5,2,0,0.655412115193645
transitive_alpha0.5,2,1,0.974180734856008
transitive_alpha0.6,2,0,0.66137040714995
transitive_alpha0.6,2,1,0.974180734856008
transitive_alpha0.7,2,0,0.664349553128103
transitive_alpha0.7,2,1,0.975173783515392
transitive_alpha0.8,2,0,0.715988083416088
transitive_alpha0.8,2,1,0.978152929493545
transitive_alpha0.9,2,0,0.736842105263158
transitive_alpha0.9,2,1,0.978152929493545
transitive_alpha0.999,2,0,0.739821251241311
transitive_alpha0.999,2,1,0.978152929493545
transitivedpi_alpha0.0,2,0,0.387288977159881
transitivedpi_alpha0.0,2,1,0.387288977159881
transitivedpi_alpha0.1,2,0,0.609731876861966
transitivedpi_alpha0.1,2,1,0.974180734856008
transitivedpi_alpha0.2,2,0,0.609731876861966
transitivedpi_alpha0.2,2,1,0.974180734856008
transitivedpi_alpha0.3,2,0,0.609731876861966
transitivedpi_alpha0.3,2,1,0.974180734856008
transitivedpi_alpha0.4,2,0,0.610724925521351
transitivedpi_alpha0.4,2,1,0.974180734856008
transitivedpi_alpha0.5,2,0,0.656405163853029
transitivedpi_alpha0.5,2,1,0.979145978152929
transitivedpi_alpha0.6,2,0,0.658391261171798
transitivedpi_alpha0.6,2,1,0.973187686196624
transitivedpi_alpha0.7,2,0,0.659384309831182
transitivedpi_alpha0.7,2,1,0.974180734856008
transitivedpi_alpha0.8,2,0,0.692154915590864
transitivedpi_alpha0.8,2,1,0.977159880834161
transitivedpi_alpha0.9,2,0,0.710029791459782
transitivedpi_alpha0.9,2,1,0.977159880834161
transitivedpi_alpha0.999,2,0,0.710029791459782
transitivedpi_alpha0.999,2,1,0.977159880834161
baseline,3,0,0.388282025819265
dpi,3,0,0.388282025819265
dpi,3,1,0.388282025819265
npi,3,0,0.971201588877855
npi,3,1,0.971201588877855
transitive_alpha0.0,3,0,0.388282025819265
transitive_alpha0.0,3,1,0.388282025819265
transitive_alpha0.1,3,0,0.786494538232373
transitive_alpha0.1,3,1,0.99304865938431
transitive_alpha0.2,3,0,0.786494538232373
transitive_alpha0.2,3,1,0.99304865938431
transitive_alpha0.3,3,0,0.787487586891758
transitive_alpha0.3,3,1,0.99304865938431
transitive_alpha0.4,3,0,0.788480635551142
transitive_alpha0.4,3,1,0.99304865938431
transitive_alpha0.5,3,0,0.808341608738828
transitive_alpha0.5,3,1,0.991062562065541
transitive_alpha0.6,3,0,0.811320754716981
transitive_alpha0.6,3,1,0.991062562065541
transitive_alpha0.7,3,0,0.815292949354518
transitive_alpha0.7,3,1,0.992055610724926
transitive_alpha0.8,3,0,0.843098311817279
transitive_alpha0.8,3,1,0.98609731876862
transitive_alpha0.9,3,0,0.862959285004965
transitive_alpha0.9,3,1,0.98609731876862
transitive_alpha0.999,3,0,0.867924528301887
transitive_alpha0.999,3,1,0.98609731876862
transitivedpi_alpha0.0,3,0,0.387288977159881
transitivedpi_alpha0.0,3,1,0.387288977159881
transitivedpi_alpha0.1,3,0,0.789473684210526
transitivedpi_alpha0.1,3,1,0.992055610724926
transitivedpi_alpha0.2,3,0,0.789473684210526
transitivedpi_alpha0.2,3,1,0.992055610724926
transitivedpi_alpha0.3,3,0,0.789473684210526
transitivedpi_alpha0.3,3,1,0.992055610724926
transitivedpi_alpha0.4,3,0,0.789473684210526
transitivedpi_alpha0.4,3,1,0.992055610724926
transitivedpi_alpha0.5,3,0,0.805362462760675
transitivedpi_alpha0.5,3,1,0.995034756703079
transitivedpi_alpha0.6,3,0,0.807348560079444
transitivedpi_alpha0.6,3,1,0.990069513406157
transitivedpi_alpha0.7,3,0,0.808341608738828
transitivedpi_alpha0.7,3,1,0.991062562065541
transitivedpi_alpha0.8,3,0,0.823237338629593
transitivedpi_alpha0.8,3,1,0.985104270109235
transitivedpi_alpha0.9,3,0,0.843098311817279
transitivedpi_alpha0.9,3,1,0.985104270109235
transitivedpi_alpha0.999,3,0,0.845084409136048
transitivedpi_alpha0.999,3,1,0.985104270109235
baseline,4,0,0.388282025819265
dpi,4,0,0.388282025819265
dpi,4,1,0.388282025819265
npi,4,0,0.971201588877855
npi,4,1,0.971201588877855
transitive_alpha0.0,4,0,0.388282025819265
transitive_alpha0.0,4,1,0.388282025819265
transitive_alpha0.1,4,0,0.867924528301887
transitive_alpha0.1,4,1,0.999006951340616
transitive_alpha0.2,4,0,0.867924528301887
transitive_alpha0.2,4,1,0.999006951340616
transitive_alpha0.3,4,0,0.872889771598808
transitive_alpha0.3,4,1,0.999006951340616
transitive_alpha0.4,4,0,0.872889771598808
transitive_alpha0.4,4,1,0.999006951340616
transitive_alpha0.5,4,0,0.876861966236346
transitive_alpha0.5,4,1,0.998013902681231
transitive_alpha0.6,4,0,0.87785501489573
transitive_alpha0.6,4,1,0.998013902681231
transitive_alpha0.7,4,0,0.87785501489573
transitive_alpha0.7,4,1,0.998013902681231
transitive_alpha0.8,4,0,0.89175769612711
transitive_alpha0.8,4,1,0.99304865938431
transitive_alpha0.9,4,0,0.933465739821251
transitive_alpha0.9,4,1,0.99304865938431
transitive_alpha0.999,4,0,0.966236345580933
transitive_alpha0.999,4,1,0.99304865938431
transitivedpi_alpha0.0,4,0,0.387288977159881
transitivedpi_alpha0.0,4,1,0.387288977159881
transitivedpi_alpha0.1,4,0,0.866931479642503
transitivedpi_alpha0.1,4,1,0.998013902681231
transitivedpi_alpha0.2,4,0,0.866931479642503
transitivedpi_alpha0.2,4,1,0.998013902681231
transitivedpi_alpha0.3,4,0,0.866931479642503
transitivedpi_alpha0.3,4,1,0.998013902681231
transitivedpi_alpha0.4,4,0,0.866931479642503
transitivedpi_alpha0.4,4,1,0.998013902681231
transitivedpi_alpha0.5,4,0,0.869910625620656
transitivedpi_alpha0.5,4,1,0.999006951340616
transitivedpi_alpha0.6,4,0,0.868917576961271
transitivedpi_alpha0.6,4,1,0.997020854021847
transitivedpi_alpha0.7,4,0,0.868917576961271
transitivedpi_alpha0.7,4,1,0.997020854021847
transitivedpi_alpha0.8,4,0,0.883813306852036
transitivedpi_alpha0.8,4,1,0.992055610724926
transitivedpi_alpha0.9,4,0,0.902681231380338
transitivedpi_alpha0.9,4,1,0.992055610724926
transitivedpi_alpha0.999,4,0,0.913604766633565
transitivedpi_alpha0.999,4,1,0.992055610724926
baseline,5,0,0.388282025819265
dpi,5,0,0.388282025819265
dpi,5,1,0.388282025819265
