algorithm,k,superholderpriority,path,recall
baseline,1,0,1,0.989769820971867
baseline,1,0,2,0
baseline,1,0,3,0
baseline,1,0,4,0
baseline,1,0,5,0
baseline,1,0,6,0
baseline,1,0,7,0
baseline,1,0,8,0
baseline,1,0,9,0
baseline,1,0,10,0
baseline,1,0,11,0
baseline,1,0,12,0
dpi,1,0,1,0.9923273657289
dpi,1,1,1,0.994884910485933
dpi,1,0,2,0
dpi,1,1,2,0
dpi,1,0,3,0
dpi,1,1,3,0
dpi,1,0,4,0
dpi,1,1,4,0
dpi,1,0,5,0
dpi,1,1,5,0
dpi,1,0,6,0
dpi,1,1,6,0
dpi,1,0,7,0
dpi,1,1,7,0
dpi,1,0,8,0
dpi,1,1,8,0
dpi,1,0,9,0
dpi,1,1,9,0
dpi,1,0,10,0
dpi,1,1,10,0
dpi,1,0,11,0
dpi,1,1,11,0
dpi,1,0,12,0
dpi,1,1,12,0
npi,1,0,1,0.976982097186701
npi,1,1,1,0.976982097186701
npi,1,0,2,0.916299559471366
npi,1,1,2,0.916299559471366
npi,1,0,3,0.894444444444445
npi,1,1,3,0.894444444444445
npi,1,0,4,0.873563218390805
npi,1,1,4,0.873563218390805
npi,1,0,5,0.944444444444444
npi,1,1,5,0.944444444444444
npi,1,0,6,0.736842105263158
npi,1,1,6,0.736842105263158
npi,1,0,7,1
npi,1,1,7,1
npi,1,0,8,0.6
npi,1,1,8,0.6
npi,1,0,9,0.142857142857143
npi,1,1,9,0.142857142857143
npi,1,0,10,0.0625
npi,1,1,10,0.0625
npi,1,0,11,0
npi,1,1,11,0
npi,1,0,12,0
npi,1,1,12,0
transitive_alpha0.0,1,0,1,0.989769820971867
transitive_alpha0.0,1,1,1,0.994884910485933
transitive_alpha0.0,1,0,2,0
transitive_alpha0.0,1,1,2,0
transitive_alpha0.0,1,0,3,0
transitive_alpha0.0,1,1,3,0
transitive_alpha0.0,1,0,4,0
transitive_alpha0.0,1,1,4,0
transitive_alpha0.0,1,0,5,0
transitive_alpha0.0,1,1,5,0
transitive_alpha0.0,1,0,6,0
transitive_alpha0.0,1,1,6,0
transitive_alpha0.0,1,0,7,0
transitive_alpha0.0,1,1,7,0
transitive_alpha0.0,1,0,8,0
transitive_alpha0.0,1,1,8,0
transitive_alpha0.0,1,0,9,0
transitive_alpha0.0,1,1,9,0
transitive_alpha0.0,1,0,10,0
transitive_alpha0.0,1,1,10,0
transitive_alpha0.0,1,0,11,0
transitive_alpha0.0,1,1,11,0
transitive_alpha0.0,1,0,12,0
transitive_alpha0.0,1,1,12,0
transitive_alpha0.1,1,0,1,0.9923273657289
transitive_alpha0.1,1,1,1,0.994884910485933
transitive_alpha0.1,1,0,2,0
transitive_alpha0.1,1,1,2,0.916299559471366
transitive_alpha0.1,1,0,3,0
transitive_alpha0.1,1,1,3,0.894444444444445
transitive_alpha0.1,1,0,4,0
transitive_alpha0.1,1,1,4,0.908045977011494
transitive_alpha0.1,1,0,5,0
transitive_alpha0.1,1,1,5,1
transitive_alpha0.1,1,0,6,0
transitive_alpha0.1,1,1,6,1
transitive_alpha0.1,1,0,7,0
transitive_alpha0.1,1,1,7,1
transitive_alpha0.1,1,0,8,0
transitive_alpha0.1,1,1,8,1
transitive_alpha0.1,1,0,9,0
transitive_alpha0.1,1,1,9,0.904761904761905
transitive_alpha0.1,1,0,10,0
transitive_alpha0.1,1,1,10,1
transitive_alpha0.1,1,0,11,0
transitive_alpha0.1,1,1,11,1
transitive_alpha0.1,1,0,12,0
transitive_alpha0.1,1,1,12,1
transitive_alpha0.2,1,0,1,0.9923273657289
transitive_alpha0.2,1,1,1,0.994884910485933
transitive_alpha0.2,1,0,2,0
transitive_alpha0.2,1,1,2,0.916299559471366
transitive_alpha0.2,1,0,3,0
transitive_alpha0.2,1,1,3,0.894444444444445
transitive_alpha0.2,1,0,4,0
transitive_alpha0.2,1,1,4,0.908045977011494
transitive_alpha0.2,1,0,5,0
transitive_alpha0.2,1,1,5,1
transitive_alpha0.2,1,0,6,0
transitive_alpha0.2,1,1,6,1
transitive_alpha0.2,1,0,7,0
transitive_alpha0.2,1,1,7,1
transitive_alpha0.2,1,0,8,0
transitive_alpha0.2,1,1,8,1
transitive_alpha0.2,1,0,9,0
transitive_alpha0.2,1,1,9,0.904761904761905
transitive_alpha0.2,1,0,10,0
transitive_alpha0.2,1,1,10,1
transitive_alpha0.2,1,0,11,0
transitive_alpha0.2,1,1,11,1
transitive_alpha0.2,1,0,12,0
transitive_alpha0.2,1,1,12,1
transitive_alpha0.3,1,0,1,0.994884910485933
transitive_alpha0.3,1,1,1,0.994884910485933
transitive_alpha0.3,1,0,2,0
transitive_alpha0.3,1,1,2,0.916299559471366
transitive_alpha0.3,1,0,3,0
transitive_alpha0.3,1,1,3,0.894444444444445
transitive_alpha0.3,1,0,4,0
transitive_alpha0.3,1,1,4,0.908045977011494
transitive_alpha0.3,1,0,5,0
transitive_alpha0.3,1,1,5,1
transitive_alpha0.3,1,0,6,0
transitive_alpha0.3,1,1,6,1
transitive_alpha0.3,1,0,7,0
transitive_alpha0.3,1,1,7,1
transitive_alpha0.3,1,0,8,0
transitive_alpha0.3,1,1,8,1
transitive_alpha0.3,1,0,9,0
transitive_alpha0.3,1,1,9,0.904761904761905
transitive_alpha0.3,1,0,10,0
transitive_alpha0.3,1,1,10,1
transitive_alpha0.3,1,0,11,0
transitive_alpha0.3,1,1,11,1
transitive_alpha0.3,1,0,12,0
transitive_alpha0.3,1,1,12,1
transitive_alpha0.4,1,0,1,0.994884910485933
transitive_alpha0.4,1,1,1,0.994884910485933
transitive_alpha0.4,1,0,2,0
transitive_alpha0.4,1,1,2,0.916299559471366
transitive_alpha0.4,1,0,3,0
transitive_alpha0.4,1,1,3,0.894444444444445
